VBF_HToWWToTauNuQQ_M-550_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H550    2 2 0    0 20113 1550.    0.0083 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-600_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H600    2 1 0    0 20113 600.     0.0718 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-600_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H600    2 1 0    0 20113 600.     0.0359 1.0    PFlow
VBF_HToWWToLNuQQ_M-600_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H600    2 2 0    0 20113 1600.    0.0132 1.0    PFlow
VBF_HToWWToTauNuQQ_M-600_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H600    2 2 0    0 20113 1600.    0.0066 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
WW_TuneZ2star_8TeV_pythia6_tauola_ajkumar-SQWaT_PAT_52X_Summer12_v1                  5_VV         95 1 1001    0 20113 -1.         57.110 1.0    PFlow
WZ_TuneZ2star_8TeV_pythia6_tauola_ajkumar-SQWaT_PAT_52X_Summer12_v1                  5_VV         95 1 1001    0 20113 -1.         32.316 1.0    PFlow
TTJets_TuneZ2star_8TeV-madgraph-tauola_dimatteo-SQWaT_PAT_52X_Summer12_v2            3_top        60 1 1001    0 20113 -1.        225.197 1.0    PFlow
DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball_ajkumar-SQWaT_PAT_52X_Summer12_v1   2_Z+jets      8 1 1001    0 20113 -1.        3503.71 1.0    PFlow
QCD_Pt_20_MuEnrichedPt_15_TuneZ2star_8TeV_pythia6_ajkumar-SQWaT_PAT_52X_Summer12_v1  1_QCD        51 1 1001    0 20113 -1.      134680.00 1.0    PFlow 
WJetsToLNu_TuneZ2Star_8TeV-madgraph-tarball_ajkumar-SQWaT_PAT_52X_Summer12_v1        4_W+jets     92 1 1001    0 20113 -1.        36257.2 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
##SingleElectron_sboutle-SQWaT_PAT_52X_2012A-PromptReco-v1_v1      0_data     1 1 1001    1 0 -1.    1.000 1.0    PFlow
##SingleMu_sboutle-SQWaT_PAT_52X_2012A-PromptReco-v1_v1            0_data     1 1 1001    1 0 -1.    1.000 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
data_Run2012A-PromptReco-v1     0_data     1 1 1001    1 0 -1.    1.000 1.0    PFlow
